pID,age,group_size,group,has_travelled,has_preexisting_condition,number_of_flags,seat,offset_order,offset_x,offset_y,offset_method
ff544ae5-31e5-4b9c-affe-1004e046df8d,41,7,"[UUID('cdf2d833-08f2-4bb9-9e47-943165c5b54b'), UUID('a66392d5-885c-489e-ad75-a37456434ce0'), UUID('ff544ae5-31e5-4b9c-affe-1004e046df8d'), UUID('b1cdcb81-917a-431c-977f-63ef6d433609'), UUID('c3cb4208-c725-4a8a-bae3-bd9af2fdc7ae'), UUID('1a3799e1-fb27-42ac-8c19-fcecf305f1dd'), UUID('fe96b9de-34bf-4aad-a19f-43c073a21f62')]",False,False,0,82B,5,0,0,cardinal_only
1a3799e1-fb27-42ac-8c19-fcecf305f1dd,40,7,"[UUID('cdf2d833-08f2-4bb9-9e47-943165c5b54b'), UUID('a66392d5-885c-489e-ad75-a37456434ce0'), UUID('ff544ae5-31e5-4b9c-affe-1004e046df8d'), UUID('b1cdcb81-917a-431c-977f-63ef6d433609'), UUID('c3cb4208-c725-4a8a-bae3-bd9af2fdc7ae'), UUID('1a3799e1-fb27-42ac-8c19-fcecf305f1dd'), UUID('fe96b9de-34bf-4aad-a19f-43c073a21f62')]",False,False,0,82C,5,0,0,cardinal_only
23904885-96e7-4233-aa21-5c64c07d7572,39,7,"[UUID('23904885-96e7-4233-aa21-5c64c07d7572'), UUID('eedf8879-fa33-46fc-b506-3e6e6373c52b'), UUID('4bc39d97-06c1-4ecc-9061-7d22c3e5171f'), UUID('a8bb93cd-4c68-4657-9be8-b869bc534d2c'), UUID('d9060a97-6eba-46ca-836e-dafb662976ad'), UUID('f18ab0f9-8e8f-47c5-be97-70b6f95cb18d'), UUID('2f170e4f-e84b-4670-9bf8-d0e33612ce8b')]",False,False,0,79C,5,0,0,cardinal_only
2f170e4f-e84b-4670-9bf8-d0e33612ce8b,36,7,"[UUID('23904885-96e7-4233-aa21-5c64c07d7572'), UUID('eedf8879-fa33-46fc-b506-3e6e6373c52b'), UUID('4bc39d97-06c1-4ecc-9061-7d22c3e5171f'), UUID('a8bb93cd-4c68-4657-9be8-b869bc534d2c'), UUID('d9060a97-6eba-46ca-836e-dafb662976ad'), UUID('f18ab0f9-8e8f-47c5-be97-70b6f95cb18d'), UUID('2f170e4f-e84b-4670-9bf8-d0e33612ce8b')]",False,True,1,79A,2,1,1,full_block
a66392d5-885c-489e-ad75-a37456434ce0,35,7,"[UUID('cdf2d833-08f2-4bb9-9e47-943165c5b54b'), UUID('a66392d5-885c-489e-ad75-a37456434ce0'), UUID('ff544ae5-31e5-4b9c-affe-1004e046df8d'), UUID('b1cdcb81-917a-431c-977f-63ef6d433609'), UUID('c3cb4208-c725-4a8a-bae3-bd9af2fdc7ae'), UUID('1a3799e1-fb27-42ac-8c19-fcecf305f1dd'), UUID('fe96b9de-34bf-4aad-a19f-43c073a21f62')]",False,False,0,81A,5,0,0,cardinal_only
b1cdcb81-917a-431c-977f-63ef6d433609,35,7,"[UUID('cdf2d833-08f2-4bb9-9e47-943165c5b54b'), UUID('a66392d5-885c-489e-ad75-a37456434ce0'), UUID('ff544ae5-31e5-4b9c-affe-1004e046df8d'), UUID('b1cdcb81-917a-431c-977f-63ef6d433609'), UUID('c3cb4208-c725-4a8a-bae3-bd9af2fdc7ae'), UUID('1a3799e1-fb27-42ac-8c19-fcecf305f1dd'), UUID('fe96b9de-34bf-4aad-a19f-43c073a21f62')]",False,True,1,83A,2,1,1,full_block
f18ab0f9-8e8f-47c5-be97-70b6f95cb18d,34,7,"[UUID('23904885-96e7-4233-aa21-5c64c07d7572'), UUID('eedf8879-fa33-46fc-b506-3e6e6373c52b'), UUID('4bc39d97-06c1-4ecc-9061-7d22c3e5171f'), UUID('a8bb93cd-4c68-4657-9be8-b869bc534d2c'), UUID('d9060a97-6eba-46ca-836e-dafb662976ad'), UUID('f18ab0f9-8e8f-47c5-be97-70b6f95cb18d'), UUID('2f170e4f-e84b-4670-9bf8-d0e33612ce8b')]",True,False,1,79B,5,0,0,cardinal_only
eedf8879-fa33-46fc-b506-3e6e6373c52b,30,7,"[UUID('23904885-96e7-4233-aa21-5c64c07d7572'), UUID('eedf8879-fa33-46fc-b506-3e6e6373c52b'), UUID('4bc39d97-06c1-4ecc-9061-7d22c3e5171f'), UUID('a8bb93cd-4c68-4657-9be8-b869bc534d2c'), UUID('d9060a97-6eba-46ca-836e-dafb662976ad'), UUID('f18ab0f9-8e8f-47c5-be97-70b6f95cb18d'), UUID('2f170e4f-e84b-4670-9bf8-d0e33612ce8b')]",True,True,2,80C,2,1,1,full_block
cdf2d833-08f2-4bb9-9e47-943165c5b54b,28,7,"[UUID('cdf2d833-08f2-4bb9-9e47-943165c5b54b'), UUID('a66392d5-885c-489e-ad75-a37456434ce0'), UUID('ff544ae5-31e5-4b9c-affe-1004e046df8d'), UUID('b1cdcb81-917a-431c-977f-63ef6d433609'), UUID('c3cb4208-c725-4a8a-bae3-bd9af2fdc7ae'), UUID('1a3799e1-fb27-42ac-8c19-fcecf305f1dd'), UUID('fe96b9de-34bf-4aad-a19f-43c073a21f62')]",True,False,1,83B,5,0,0,cardinal_only
c3cb4208-c725-4a8a-bae3-bd9af2fdc7ae,28,7,"[UUID('cdf2d833-08f2-4bb9-9e47-943165c5b54b'), UUID('a66392d5-885c-489e-ad75-a37456434ce0'), UUID('ff544ae5-31e5-4b9c-affe-1004e046df8d'), UUID('b1cdcb81-917a-431c-977f-63ef6d433609'), UUID('c3cb4208-c725-4a8a-bae3-bd9af2fdc7ae'), UUID('1a3799e1-fb27-42ac-8c19-fcecf305f1dd'), UUID('fe96b9de-34bf-4aad-a19f-43c073a21f62')]",True,False,1,83C,5,0,0,cardinal_only
